country,real_gdp_growth,gdp_per_capita_ppp,tax_burden
Afghanistan,3.9,2542.644,8.36282
Albania,2.1,14447.702,25.142702
Angola,-0.7,7383.164,19.483285
Antigua and Barbuda,4.9,22928.742,14.981992
Argentina,-2,23003.286,28.645779
Armenia,7.6,14213.451,22.670324
Austria,1.5,58679.932,43.073051
Azerbaijan,2.5,15113.163,14.256314
Bahrain,2.2,52233.693,3.025819
Barbados,-1.3,16096.441,26.600115
Belarus,1.4,20080.202,34.610631
Belgium,2.1,54481.002,45.001071
Belize,4.5,8811.58,28.221464
Benin,6.9,3422.429,10.593851
Bolivia,2.2,9126.859,24.694968
Bosnia and Herzegovina,2.8,14775.38,37.850582
Botswana,3,17096.574,19.769959
Brazil,1.2,15424.06,34.437942
Bulgaria,4,24409.408,30.065537
Burkina Faso,5.7,2270.259,15.9257
Cambodia,7.1,4833.97,19.998263
Canada,1.9,51652.558,33.355906
Central African Republic,3,985.073,7.788664
Chile,0.9,24917.414,19.325807
Comoros,1.8,3104.514,6.948605
Costa Rica,2.4,21127.111,13.636345
Croatia,3.5,30551.851,38.627472
Cyprus,5.3,43592.601,24.206488
Denmark,1.5,59468.569,46.702501
Djibouti,5.5,5482.014,12.009376
Dominican Republic,5.1,19896.19,13.3589
Ecuador,0,11923.018,14.039304
El Salvador,2.4,9148.797,17.98653
Estonia,3.7,37769.745,33.332993
Eswatini,2.7,9294.103,25.328146
Fiji,-0.6,14166.313,22.677029
Finland,1.2,50676.952,42.346032
France,1.9,49782.004,47.191743
Georgia,5,15607.868,23.181938
Germany,1.1,56468,39.042751
Ghana,6.5,5821.637,12.283351
Greece,1.8,30887.691,39.5599
Grenada,0.7,17579.609,22.086663
Guatemala,4,8518.532,10.893322
Guinea,5.6,2506.731,12.523363
Guinea-Bissau,4.5,2438.071,9.377871
Guyana,5.4,13603.114,20.991796
Haiti,-1.7,3115.976,6.086794
Honduras,2.7,5963.447,21.740636
Hungary,4.6,34343.64,35.223992
Iceland,2.4,60424.032,35.133076
Indonesia,5,12481.915,9.758387
Ireland,5.4,90696.948,22.690615
Israel,4.2,42977.108,31.118041
Italy,0.5,44702.877,42.653777
Jamaica,1,10989.634,26.961458
Jordan,2,10496.262,14.842548
Kenya,5.1,5134.154,15.868096
Kosovo,4.8,11840.959,23.39527
Kuwait,-0.6,45851.592,1.712622
Latvia,2.5,32232.869,31.613875
Lebanon,-6.9,15104.956,15.865842
Lesotho,0,2822.672,33.21714
Liberia,-2.5,1500.826,12.597911
Lithuania,4.6,38809.063,30.442826
Luxembourg,3.3,123205.843,40.57977
Madagascar,4.4,1715.188,10.813258
Malawi,5.4,1470.941,17.278333
Malaysia,4.4,29091.639,11.954802
Maldives,6.9,29040.411,19.04526
Mali,4.8,2419.844,14.75303
Malta,5.9,49057.749,31.387198
Marshall Islands,6.8,3911.443,17.449791
Mauritania,5.4,6205.847,12.165868
Mauritius,3,23839.419,19.725272
Mexico,-0.2,20764.034,13.148223
Moldova,3.6,13238.421,27.824073
Mongolia,5.6,12730.045,28.786905
Montenegro,4.1,22468.926,36.96223
Morocco,2.9,8868.205,21.448287
Mozambique,2.3,1339.424,25.052624
Myanmar,6.8,5053.193,6.439273
Namibia,-0.8,10379.883,30.24598
Nauru,1,9856.468,32.228916
Nepal,6.7,4119.586,19.357246
Netherlands,2,59674.923,39.810206
New Zealand,2.9,43840.681,31.238945
Nicaragua,-3.8,5669.177,25.881093
Niger,5.9,1276.008,10.363585
Norway,0.7,65829.873,39.85386
Palau,0.4,15338.264,20.001429
Panama,3,32981.812,13.8
Papua New Guinea,4.5,3969.251,12.421976
Paraguay,-0.4,12949.326,9.824313
Peru,2.2,13430.237,14.168056
Philippines,6.1,9362.552,14.489544
Poland,4.7,34688.969,35.165141
Portugal,2.7,36465.952,36.797468
Romania,4.2,31226.02,26.730701
Rwanda,9.5,2368.668,16.738056
Saint Lucia,-0.7,16002.35,18.407869
Saint Vincent and the Grenadines,0.4,14028.914,24.854195
Samoa,4.5,6214.025,25.663852
San Marino,2.1,63605.532,16.487635
Senegal,4.6,3510.424,17.648735
Seychelles,3.1,30991.395,33.458003
Sierra Leone,5.3,1777.159,12.278618
Singapore,1.1,102431.353,13.24457
Slovenia,3.5,41011.097,37.631812
Solomon Islands,1.7,2398.552,22.92506
Somalia,2.7,1215.638,3.122227
South Africa,0.3,14267.861,28.971872
Spain,2.1,42600.441,35.297445
Sri Lanka,-0.2,14214.655,11.749256
Sudan,-2.5,4408.041,5.44402
Sweden,2,55656.2,43.381938
Switzerland,1.2,73644.454,27.443677
Tajikistan,7.4,3744.206,20.383944
Thailand,2.2,19216.85,17.150365
Togo,5.5,2210.778,13.154905
Tonga,0.7,6131.307,20.9
Trinidad and Tobago,-0.2,27959.539,21.5053
Uganda,7.8,2672.969,11.472295
Ukraine,3.2,13447.358,32.476551
United Arab Emirates,3.4,73141.91,15.072819
United Kingdom,1.7,49575.598,34.262204
United States,2.3,65051.88,25.017388
Uzbekistan,5.7,7733.084,23.986453
Vanuatu,3.2,2897.796,17.711695
Vietnam,7.2,10559.323,14.553984
Zambia,1.4,3526.107,16.677608