country,gdp_per_capita_ppp,tax_burden,hdi,unemployment
Argentina,23597.118,30.044023,0.851,8.35000038146973
Australia,49656.816,29.182115,0.937,5.59000015258789
Austria,54393.569,42.440022,0.916,5.5
Bangladesh,5226.652,8.998818,0.622,4.36999988555908
Belgium,50726.554,46.277363,0.931,7.09000015258789
Brazil,14596.871,34.013032,0.759,12.8199996948242
Bulgaria,21616.969,29.267881,0.808,6.15999984741211
Cambodia,4101,15.80211,0.586,0.140000000596046
Canada,48688.106,33.121062,0.931,6.34000015258789
Chile,23656.458,18.933913,0.853,6.96000003814697
Colombia,14763.881,19.394309,0.761,8.86999988555908
Costa Rica,19711.653,13.439,0.807,8.14000034332275
Croatia,27129.359,37.586929,0.852,11.210000038147
Cyprus,38516.124,24.060636,0.887,11.0500001907349
Denmark,55673.456,46.315122,0.944,5.82999992370605
Ecuador,11623.715,14.148587,0.762,3.83999991416931
Estonia,33903.126,32.773824,0.887,5.76000022888184
Finland,47621.51,42.989205,0.934,8.64000034332275
France,46369.701,47.941356,0.898,9.40999984741211
Germany,53373.918,39.145362,0.944,3.75
Greece,28518.16,42.237175,0.88,21.4899997711182
Hungary,29837.955,37.944781,0.845,4.15999984741211
Iceland,56944.804,37.199347,0.954,2.74000000953674
India,6182.921,17.551967,0.644,5.35799980163574
Indonesia,11073.521,9.889752,0.704,3.88000011444092
Ireland,78002.334,23.377769,0.934,6.71000003814697
Israel,39533.604,33.271451,0.917,4.21999979019165
Italy,42111.532,42.193631,0.888,11.210000038147
Japan,41408.954,31.063802,0.922,2.79999995231628
Latvia,28571.465,31.560359,0.86,8.72000026702881
Lithuania,33826.612,29.771421,0.876,7.07000017166138
Luxembourg,116621.216,39.007669,0.919,5.51999998092651
Malaysia,25897.244,12.948969,0.805,3.41000008583069
Malta,44883.882,31.559839,0.901,4
Mexico,19933.504,13.035671,0.775,3.42000007629395
Myanmar,4332.722,6.681493,0.58,1.55999994277954
Netherlands,55509.264,39.19184,0.937,4.84000015258789
New Zealand,40936.545,32.987472,0.935,4.73999977111816
Norway,62782.105,38.928974,0.959,4.15999984741211
Peru,12631.698,12.951964,0.77,3.69000005722046
Philippines,8199.054,13.593795,0.704,2.54999995231628
Poland,30161.551,35.028093,0.875,4.8899998664856
Portugal,33086.048,36.539056,0.859,8.86999988555908
Romania,27219.977,25.727442,0.823,4.92999982833862
Singapore,95310.334,13.99716,0.935,4.19999980926514
Slovenia,36680.185,37.395622,0.913,6.55999994277954
South Africa,13838.851,28.342736,0.72,27.0400009155273
Spain,39626.469,34.585022,0.897,17.2199993133545
Sri Lanka,13584.193,12.598714,0.771,4.05000019073486
Sweden,52413.085,44.724065,0.941,6.71999979019165
Switzerland,68913.613,27.468978,0.957,4.80000019073486
Thailand,17422.952,17.260462,0.79,0.829999983310699
United Kingdom,46553.491,34.231884,0.93,4.32999992370605
United States,59885.714,27.248414,0.924,4.3600001335144
Vietnam,9085.612,14.553764,0.692,1.87000000476837